drug_a_rxcui,drug_a_name,drug_b_rxcui,drug_b_name,severity,description,source,severity_clean,severity_color,pair_id
11289,Warfarin,1191,Aspirin,High,"Concurrent use significantly increases bleeding risk. Both inhibit platelet function through different mechanisms. Monitor for signs of bleeding (bruising, hematoma, blood in stool/urine). Consider gastroprotection with PPI.",Curated Clinical References,High,#E74C3C,Aspirin_Warfarin
11289,Warfarin,5640,Ibuprofen,High,"NSAIDs increase bleeding risk 2-3 fold when combined with warfarin. Ibuprofen inhibits platelet COX-1, impairing aggregation. Monitor INR closely; may need warfarin dose reduction.",Curated Clinical References,High,#E74C3C,Ibuprofen_Warfarin
11289,Warfarin,7258,Naproxen,High,Naproxen prolongs bleeding time and may displace warfarin from protein binding sites. Risk of major hemorrhage. Monitor INR every 3-7 days after NSAID initiation.,Curated Clinical References,High,#E74C3C,Naproxen_Warfarin
11289,Warfarin,6960,Meloxicam,High,COX-2 selective NSAIDs still increase bleeding risk with anticoagulants. Less GI toxicity than non-selective NSAIDs but bleeding risk remains. Monitor closely.,Curated Clinical References,High,#E74C3C,Meloxicam_Warfarin
11289,Warfarin,3355,Diclofenac,High,Diclofenac increases warfarin effect via pharmacodynamic interaction. Risk of serious bleeding events. Use lowest effective NSAID dose for shortest duration.,Curated Clinical References,High,#E74C3C,Diclofenac_Warfarin
1364430,Apixaban,1191,Aspirin,High,Direct oral anticoagulant (DOAC) plus antiplatelet increases major bleeding risk 1.5-2 fold. Often used together post-ACS but requires careful risk-benefit assessment.,Curated Clinical References,High,#E74C3C,Apixaban_Aspirin
1364430,Apixaban,5640,Ibuprofen,High,NSAID use with DOAC increases bleeding risk without providing additional thrombotic protection. Avoid concurrent use when possible; use acetaminophen for pain.,Curated Clinical References,High,#E74C3C,Apixaban_Ibuprofen
1364430,Apixaban,7258,Naproxen,High,"Combined antiplatelet effect significantly increases hemorrhage risk. If NSAID necessary, use lowest dose for shortest time and counsel patient on bleeding signs.",Curated Clinical References,High,#E74C3C,Apixaban_Naproxen
1114195,Rivaroxaban,1191,Aspirin,High,"Aspirin plus rivaroxaban acceptable only when clear indication exists (e.g., post-PCI). Increases bleeding without reducing stroke risk in atrial fibrillation alone.",Curated Clinical References,High,#E74C3C,Aspirin_Rivaroxaban
1114195,Rivaroxaban,5640,Ibuprofen,High,NSAID use contraindicated with rivaroxaban unless benefits clearly outweigh bleeding risks. Consider alternatives like acetaminophen or topical NSAIDs.,Curated Clinical References,High,#E74C3C,Ibuprofen_Rivaroxaban
1114195,Rivaroxaban,7258,Naproxen,High,"Naproxen has long half-life (12-17 hours), providing prolonged antiplatelet effect. This increases bleeding risk when combined with DOAC. Avoid combination.",Curated Clinical References,High,#E74C3C,Naproxen_Rivaroxaban
32968,Clopidogrel,1191,Aspirin,Medium,Dual antiplatelet therapy (DAPT) standard post-stent but increases bleeding 2-3 fold. Duration depends on stent type and bleeding risk. Monitor closely.,Curated Clinical References,Medium,#F39C12,Aspirin_Clopidogrel
1364430,Apixaban,32968,Clopidogrel,High,Triple therapy (DOAC + dual antiplatelet) reserved for specific situations (recent PCI + atrial fib). Very high bleeding risk. Shorten DAPT duration when possible.,Curated Clinical References,High,#E74C3C,Apixaban_Clopidogrel
1114195,Rivaroxaban,32968,Clopidogrel,High,Similar to apixaban + clopidogrel. Major bleeding rate 2-3% annually. Use only when benefits outweigh risks. Consider PPI for gastroprotection.,Curated Clinical References,High,#E74C3C,Clopidogrel_Rivaroxaban
11289,Warfarin,18631,Azithromycin,Medium,Macrolides may potentiate warfarin via unknown mechanism. Monitor INR within 3-5 days of starting azithromycin. Expect potential 20-30% INR increase. Consider prophylactic warfarin dose reduction of 10-20%.,Curated Clinical References,Medium,#F39C12,Azithromycin_Warfarin
11289,Warfarin,2551,Ciprofloxacin,High,Fluoroquinolones significantly increase warfarin levels via CYP1A2 and CYP3A4 inhibition. INR may increase 50-100%. Reduce warfarin dose 25-50% empirically. Check INR every 2-3 days during therapy.,Curated Clinical References,High,#E74C3C,Ciprofloxacin_Warfarin
11289,Warfarin,82122,Levofloxacin,High,"Similar to ciprofloxacin. Levofloxacin inhibits warfarin metabolism, increasing bleeding risk. Reduce warfarin dose proactively. Multiple case reports of serious bleeding events.",Curated Clinical References,High,#E74C3C,Levofloxacin_Warfarin
11289,Warfarin,6922,Metronidazole,High,Potent CYP2C9 inhibition causes 30-50% increase in warfarin levels. One of the strongest warfarin interactions. Reduce dose 30-40% when starting metronidazole. Check INR frequently (every 2-3 days).,Curated Clinical References,High,#E74C3C,Metronidazole_Warfarin
11289,Warfarin,10831,Trimethoprim-Sulfamethoxazole,High,Stereoselective inhibition of S-warfarin metabolism (more potent enantiomer). Can cause dramatic INR increases (>10 reported). High bleeding risk. Consider alternative antibiotic if possible.,Curated Clinical References,High,#E74C3C,Trimethoprim-Sulfamethoxazole_Warfarin
11289,Warfarin,2582,Clindamycin,Low,Limited interaction data. Theoretically may alter gut flora affecting vitamin K production. Monitor INR but significant changes uncommon. Generally safe combination.,Curated Clinical References,Low,#27AE60,Clindamycin_Warfarin
11289,Warfarin,723,Amoxicillin,Low,Beta-lactams have minimal direct interaction with warfarin. May reduce vitamin K producing gut bacteria with prolonged use. Monitor INR if therapy >7-10 days.,Curated Clinical References,Low,#27AE60,Amoxicillin_Warfarin
11289,Warfarin,3640,Doxycycline,Medium,Tetracyclines may enhance warfarin effect through unclear mechanism. Monitor INR but interaction less pronounced than with fluoroquinolones or metronidazole.,Curated Clinical References,Medium,#F39C12,Doxycycline_Warfarin
11289,Warfarin,2231,Cephalexin,Low,First-generation cephalosporins have minimal warfarin interaction. Routine INR monitoring sufficient. Generally safe combination.,Curated Clinical References,Low,#27AE60,Cephalexin_Warfarin
11289,Warfarin,7517,Nitrofurantoin,Low,Minimal interaction reported. Safe for UTI treatment in patients on warfarin. Standard INR monitoring adequate.,Curated Clinical References,Low,#27AE60,Nitrofurantoin_Warfarin
36437,Sertraline,10689,Tramadol,High,"Both increase serotonin. Risk of serotonin syndrome (SS): agitation, confusion, tachycardia, hypertension, hyperthermia, hyperreflexia, myoclonus. SS can be fatal. Avoid combination; use non-serotonergic analgesic.",Curated Clinical References,High,#E74C3C,Sertraline_Tramadol
321988,Escitalopram,10689,Tramadol,High,"Escitalopram is potent SSRI; tramadol inhibits serotonin/norepinephrine reuptake. High SS risk especially with tramadol doses >200mg/day. Consider alternatives: acetaminophen, NSAIDs, or opioids without serotonergic activity.",Curated Clinical References,High,#E74C3C,Escitalopram_Tramadol
4493,Fluoxetine,10689,Tramadol,High,"Fluoxetine has long half-life (4-6 days) and active metabolite (7-9 days). Combined with tramadol, creates prolonged SS risk. Also increases seizure risk via lowered seizure threshold. Strongly avoid combination.",Curated Clinical References,High,#E74C3C,Fluoxetine_Tramadol
2556,Citalopram,10689,Tramadol,High,"Similar mechanism to other SSRIs. SS onset can be within hours or take several days. Early symptoms: restlessness, diarrhea, tremor. Severe: rigidity, seizures, autonomic instability. Educate patients on symptoms.",Curated Clinical References,High,#E74C3C,Citalopram_Tramadol
32937,Paroxetine,10689,Tramadol,High,"Paroxetine is potent CYP2D6 inhibitor, reducing tramadol metabolism to active metabolite (M1). Creates dual risk: SS from serotonin excess, plus reduced analgesia. Avoid combination.",Curated Clinical References,High,#E74C3C,Paroxetine_Tramadol
72625,Duloxetine,10689,Tramadol,High,"SNRI (affects both serotonin and norepinephrine) plus tramadol creates very high SS risk. Duloxetine also used for pain, making tramadol potentially unnecessary. Consider if adequate pain control with duloxetine alone.",Curated Clinical References,High,#E74C3C,Duloxetine_Tramadol
39786,Venlafaxine,10689,Tramadol,High,"Venlafaxine at doses >150mg/day has significant serotonergic effect. Combined with tramadol, substantially increases SS risk. Monitor closely if combination unavoidable; use lowest tramadol dose.",Curated Clinical References,High,#E74C3C,Tramadol_Venlafaxine
36437,Sertraline,10737,Trazodone,Medium,Trazodone used for insomnia in depression patients on SSRIs. Low-dose trazodone (25-100mg) generally safe but monitor for SS symptoms. Higher trazodone doses increase risk.,Curated Clinical References,Medium,#F39C12,Sertraline_Trazodone
4493,Fluoxetine,42347,Bupropion,Medium,"Not traditional serotonin syndrome but fluoxetine inhibits bupropion metabolism via CYP2D6, increasing seizure risk. Monitor for agitation, insomnia. Generally safe combination but requires monitoring.",Curated Clinical References,Medium,#F39C12,Bupropion_Fluoxetine
596,Alprazolam,10689,Tramadol,High,"FDA BLACK BOX WARNING: Benzodiazepine-opioid combination increases risk of profound sedation, respiratory depression, coma, death. Over 30% of opioid overdose deaths involve benzodiazepines. Avoid combination; if necessary, use lowest doses and close monitoring.",Curated Clinical References,High,#E74C3C,Alprazolam_Tramadol
6470,Lorazepam,10689,Tramadol,High,"Additive CNS and respiratory depression. Elderly especially vulnerable. If combination unavoidable: start low doses (e.g., lorazepam 0.5mg, tramadol 25mg), titrate slowly, educate patient/family on overdose signs.",Curated Clinical References,High,#E74C3C,Lorazepam_Tramadol
3322,Diazepam,10689,Tramadol,High,"Diazepam has long half-life (20-100 hours) and active metabolites, creating prolonged interaction risk. Additive sedation and respiratory depression. Strongly avoid; consider non-benzodiazepine alternatives for anxiety/sleep.",Curated Clinical References,High,#E74C3C,Diazepam_Tramadol
2598,Clonazepam,10689,Tramadol,High,"Similar risks to other benzodiazepines. Clonazepam often used long-term for seizures/anxiety, making interaction more clinically relevant. Discuss tapering benzodiazepine before starting opioid, or use non-opioid analgesics.",Curated Clinical References,High,#E74C3C,Clonazepam_Tramadol
596,Alprazolam,4493,Gabapentin,Medium,"Both cause CNS depression but respiratory depression risk lower than with opioids. Still increases fall risk (especially elderly), sedation, cognitive impairment. Monitor closely; consider dose reduction of one or both agents.",Curated Clinical References,Medium,#F39C12,Alprazolam_Gabapentin
6470,Lorazepam,4493,Gabapentin,Medium,"Additive dizziness, drowsiness, confusion. Falls are major concern in elderly. Start gabapentin at low dose (100-300mg/day) if patient on benzodiazepine. Consider fall risk assessment.",Curated Clinical References,Medium,#F39C12,Gabapentin_Lorazepam
3322,Diazepam,4493,Gabapentin,Medium,"Enhanced sedation and ataxia. Elderly at high risk for falls and hip fractures. If combination needed, use lowest effective doses and implement fall precautions (remove trip hazards, use assistive devices).",Curated Clinical References,Medium,#F39C12,Diazepam_Gabapentin
596,Alprazolam,187832,Pregabalin,Medium,"Similar to gabapentin interaction. Pregabalin may have stronger sedative effect than gabapentin. Monitor for excessive drowsiness, impaired coordination. Avoid driving/operating machinery until effects known.",Curated Clinical References,Medium,#F39C12,Alprazolam_Pregabalin
6470,Lorazepam,187832,Pregabalin,Medium,"Additive CNS effects. Pregabalin has abuse potential, as do benzodiazepines; combination may be sought by drug-seeking patients. Monitor for misuse signs. Consider non-addictive alternatives.",Curated Clinical References,Medium,#F39C12,Lorazepam_Pregabalin
596,Alprazolam,39993,Zolpidem,Medium,"Both are CNS depressants for sleep. Combination provides no additional benefit and significantly increases next-day sedation, fall risk, complex sleep behaviors. Use one agent, not both.",Curated Clinical References,Medium,#F39C12,Alprazolam_Zolpidem
6470,Lorazepam,39993,Zolpidem,Medium,"Redundant therapy with increased adverse effects. If patient has both anxiety and insomnia, consider using single benzodiazepine at bedtime rather than adding zolpidem. Reduces polypharmacy.",Curated Clinical References,Medium,#F39C12,Lorazepam_Zolpidem
3498,Diphenhydramine,596,Alprazolam,Medium,"First-generation antihistamine has strong anticholinergic and sedative effects. Combined with benzodiazepine, increases delirium risk in elderly (Beers Criteria - avoid this combination in ≥65 years old).",Curated Clinical References,Medium,#F39C12,Alprazolam_Diphenhydramine
3498,Diphenhydramine,6470,Lorazepam,Medium,"Additive anticholinergic effects: dry mouth, urinary retention, constipation, confusion. In elderly, can precipitate delirium or worsen dementia. Prefer non-sedating antihistamine (loratadine, cetirizine).",Curated Clinical References,Medium,#F39C12,Diphenhydramine_Lorazepam
3498,Diphenhydramine,39993,Zolpidem,Medium,"Both cause sedation and increase fall risk. Next-day ""hangover"" effect common. Avoid using OTC sleep aids (diphenhydramine) if already on prescription sleep medication.",Curated Clinical References,Medium,#F39C12,Diphenhydramine_Zolpidem
29046,Lisinopril,9997,Spironolactone,Medium,"ACE inhibitor reduces aldosterone, causing K+ retention. Spironolactone is aldosterone antagonist, also retaining K+. Combined effect can cause dangerous hyperkalemia (K+ >5.5 mEq/L). Monitor K+ within 1 week of starting, then monthly. Higher risk if: elderly, diabetic, CKD (eGFR <60).",Curated Clinical References,Medium,#F39C12,Lisinopril_Spironolactone
29046,Lisinopril,8591,Potassium Chloride,Medium,"ACE inhibitor plus K+ supplement significantly increases hyperkalemia risk. Often patients started on K+ for diuretic-induced hypokalemia, then ACE inhibitor added later. Reassess need for K+ supplement; may be able to discontinue. Monitor serum K+ closely.",Curated Clinical References,Medium,#F39C12,Lisinopril_Potassium Chloride
52175,Losartan,9997,Spironolactone,Medium,"ARB plus aldosterone antagonist: both reduce K+ excretion. Particularly problematic in heart failure patients who may be on both for proven mortality benefit. Requires very close K+ monitoring (weekly initially, then biweekly).",Curated Clinical References,Medium,#F39C12,Losartan_Spironolactone
52175,Losartan,8591,Potassium Chloride,Medium,"Similar to lisinopril + K+ interaction. ARBs increase K+ retention. Reassess need for supplementation. If patient on HCTZ or furosemide causing hypokalemia, ARB may normalize K+ without need for supplement.",Curated Clinical References,Medium,#F39C12,Losartan_Potassium Chloride
29046,Lisinopril,5640,Ibuprofen,Medium,"Triple whammy for kidneys: ACE inhibitor + NSAID + (often) diuretic. NSAIDs reduce renal blood flow, ACE inhibitors dilate efferent arteriole - combined effect impairs GFR. Can precipitate acute kidney injury (AKI) and hyperkalemia. Avoid NSAID if possible; use acetaminophen.",Curated Clinical References,Medium,#F39C12,Ibuprofen_Lisinopril
52175,Losartan,7258,Naproxen,Medium,"ARB plus NSAID impairs kidney function, reducing K+ excretion. Especially risky in elderly, volume depleted, or pre-existing CKD. If NSAID necessary, use shortest duration, monitor renal function and K+ after 3-5 days.",Curated Clinical References,Medium,#F39C12,Losartan_Naproxen
7258,Naproxen,29046,Lisinopril,Medium,"Similar to ibuprofen. Naproxen has longer half-life (12-17 hours), providing more sustained prostaglandin inhibition and BP elevation. Monitor BP weekly for first month if combination unavoidable.",Curated Clinical References,Medium,#F39C12,Lisinopril_Naproxen
5640,Ibuprofen,52175,Losartan,Medium,NSAIDs reduce ARB antihypertensive efficacy. Mechanism: decreased renal prostaglandin synthesis impairs pressure natriuresis. Clinical significance: 10-15% of patients may lose BP control. Consider ARB dose increase or NSAID alternative.,Curated Clinical References,Medium,#F39C12,Ibuprofen_Losartan
6960,Meloxicam,29046,Lisinopril,Medium,COX-2 selective NSAID still interferes with ACE inhibitor. Less GI toxicity than non-selective NSAIDs but similar BP effects. Not preferred over non-pharmacologic pain management or acetaminophen.,Curated Clinical References,Medium,#F39C12,Lisinopril_Meloxicam
5640,Ibuprofen,17767,Amlodipine,Low,"NSAIDs have minimal effect on calcium channel blocker efficacy. CCBs work via direct vasodilation, not prostaglandin-dependent. Generally safe combination; monitor BP but significant changes uncommon.",Curated Clinical References,Low,#27AE60,Amlodipine_Ibuprofen
5640,Ibuprofen,6918,Metoprolol,Low,"NSAIDs do not significantly affect beta blocker antihypertensive effect. However, NSAIDs may worsen heart failure (fluid retention), which beta blockers help treat. Monitor for edema, weight gain.",Curated Clinical References,Low,#27AE60,Ibuprofen_Metoprolol
5640,Ibuprofen,5487,Hydrochlorothiazide,Medium,"NSAIDs reduce diuretic natriuretic and antihypertensive effects. Mechanism: decreased renal prostaglandins impair response to diuretics. May cause fluid retention (2-3 kg weight gain). Monitor BP, weight, edema.",Curated Clinical References,Medium,#F39C12,Hydrochlorothiazide_Ibuprofen
7258,Naproxen,5487,Hydrochlorothiazide,Medium,Similar to ibuprofen + HCTZ. Naproxen may cause more Na+ and fluid retention due to longer half-life. Can precipitate heart failure exacerbation in susceptible patients. Monitor volume status closely.,Curated Clinical References,Medium,#F39C12,Hydrochlorothiazide_Naproxen
5640,Ibuprofen,4603,Furosemide,Medium,NSAIDs blunt loop diuretic response. Problematic in heart failure patients where diuresis critical. May require furosemide dose increase (sometimes 2-3x) to overcome NSAID effect. Avoid combination in decompensated HF.,Curated Clinical References,Medium,#F39C12,Furosemide_Ibuprofen
6960,Meloxicam,4603,Furosemide,Medium,"COX-2 selective NSAID still impairs loop diuretic efficacy. Not exempt from interaction. If pain control needed in HF patient, consider alternatives: topical NSAIDs, acetaminophen, or opioids (cautiously).",Curated Clinical References,Medium,#F39C12,Furosemide_Meloxicam
7646,Omeprazole,32968,Clopidogrel,Medium,"Omeprazole is potent CYP2C19 inhibitor. Clopidogrel is prodrug requiring CYP2C19 activation. Omeprazole reduces active metabolite formation by 40-50%, potentially decreasing antiplatelet effect. Alternative: use pantoprazole (weaker CYP2C19 inhibition) or H2 blocker (famotidine).",Curated Clinical References,Medium,#F39C12,Clopidogrel_Omeprazole
283742,Esomeprazole,32968,Clopidogrel,Medium,"S-isomer of omeprazole with similar CYP2C19 inhibition. Reduces clopidogrel effectiveness. FDA recommends avoiding this combination. If PPI necessary for GI protection, use pantoprazole or consider H2 antagonist instead.",Curated Clinical References,Medium,#F39C12,Clopidogrel_Esomeprazole
40790,Pantoprazole,32968,Clopidogrel,Low,Minimal CYP2C19 inhibition compared to omeprazole/esomeprazole. Preferred PPI for patients on clopidogrel. Some residual interaction possible but clinically insignificant in most patients. Generally considered safe combination.,Curated Clinical References,Low,#27AE60,Clopidogrel_Pantoprazole
17128,Lansoprazole,32968,Clopidogrel,Medium,"Moderate CYP2C19 inhibition. Less than omeprazole but more than pantoprazole. If patient already on lansoprazole + clopidogrel, consider switching to pantoprazole. Clinical significance debated but prudent to avoid.",Curated Clinical References,Medium,#F39C12,Clopidogrel_Lansoprazole
7646,Omeprazole,1191,Aspirin,Low,"Aspirin is not a prodrug; PPI does not reduce antiplatelet effect. PPIs recommended for GI protection in patients on aspirin, especially if dual antiplatelet therapy or high bleeding risk. Safe combination.",Curated Clinical References,Low,#27AE60,Aspirin_Omeprazole
6809,Metformin,29046,Lisinopril,Medium,"ACE inhibitors can reduce renal function, especially in bilateral renal artery stenosis or volume depletion. Impaired metformin clearance increases lactic acidosis risk. Monitor renal function (SCr, eGFR) every 3-6 months. Hold metformin if eGFR <30, reduce dose if eGFR 30-45.",Curated Clinical References,Medium,#F39C12,Lisinopril_Metformin
6809,Metformin,52175,Losartan,Medium,"Similar to ACE inhibitor interaction. ARBs reduce GFR via efferent arteriole dilation. In diabetic nephropathy, ARB benefits usually outweigh risks, but requires close renal monitoring. Adjust metformin dose based on eGFR.",Curated Clinical References,Medium,#F39C12,Losartan_Metformin
